{'Accuracy': 0.3558792924037461, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 125, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5431841831425598, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5431841831425598, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5601803676725633, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5469996531390913, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5577523413111343, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.567811307665626, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5771765522025668, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5806451612903226, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5750953867499133, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5986819285466528, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6087408949011447, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6024973985431842, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6070065903572668, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6236559139784946, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6267776621574749, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6285119667013528, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6125563648976761, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6312868539715574, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6368366285119667, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6323274366978842, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6292056885189039, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6361429066944155, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6323274366978842, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6389177939646202, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.642386403052376, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6409989594172737, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6430801248699272, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6496704821366632, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6482830385015609, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6462018730489074, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6451612903225806, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6534859521331946, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6472424557752341, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6517516475893167, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6541796739507457, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6517516475893167, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6541796739507457, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6625043357613597, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6590357266736039, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.659729448491155, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6593825875823794, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.653139091224419, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.659729448491155, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6569545612209504, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6593825875823794, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6607700312174818, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6534859521331946, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6593825875823794, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6607700312174818, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6562608394033992, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6607700312174818, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6607700312174818, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6604231703087062, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6618106139438086, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6618106139438086, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.6628511966701353, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
