{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.444007858546169, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.2586771447282253, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44662737393582186, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.444007858546169, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.14931237721021612, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4446627373935822, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.2593320235756385, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.1512770137524558, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.14996725605762934, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44793713163064836, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.444007858546169, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4453176162409954, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4446627373935822, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44662737393582186, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.2586771447282253, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.444007858546169, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4446627373935822, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l2', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44597249508840864, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = elasticnet', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.2586771447282253, 'Model_Name': 'StockGradientDescent', 'HyperParameters': 'best_max_iter: 1000, loss:squared_error, best_penalty = l1', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
