{'Accuracy': 0.44597249508840864, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4767518009168304, 'Model_Name': 'RandomForest', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth =1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.44662737393582186, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.46037982973149966, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 100, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4911591355599214, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.4905042567125082, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 125, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.495743287491814, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 150, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.501637197118533, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5127701375245579, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5108055009823183, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 175, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5068762278978389, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
{'Accuracy': 0.5193189259986902, 'Model_Name': 'GradientBoosting', 'HyperParameters': 'best_n_estimators: 200, loss:deviance, learning_rate = 0.1, depth = 1  criterion = squared_error', 'FeatureEliminationMethod': 'RFEFeatureElimination'}
